name,status,created,city,lat,lon,members,category_name
Southwest Cleveland Spanish Meetup,active,1306417893000,North Royalton,41.32,-81.74,433,Language & Ethnic Identity
UX Akron,active,1342663064000,Akron,41.1,-81.53,427,Tech
Moses and Ken Bicycle Group,active,1496796015000,Cleveland,41.49,-81.67,420,Outdoors & Adventure
Eastside Mingles,active,1523236772000,Chesterland,41.54,-81.34,412,Socializing
Lake County Ladies,active,1349982457000,Mentor,41.72,-81.36,410,Socializing
Akron Linux Users Group,active,1349485115000,Akron,41.03,-81.44,408,Tech
Network Fifty-Two,active,1467747354000,Westlake,41.45,-81.93,399,Career & Business
All The (slightly older!) Single Ladies,active,1506351575000,Fairlawn,41.08,-81.52,393,Socializing
Cleveland Tabletop Role-Playing Meetup,active,1470597260000,Cleveland,41.49,-81.67,392,Games
IAA-Cleveland Center,active,1330370047000,Westlake,41.45,-81.93,380,New Age & Spirituality
In and Out Naked Yoga and Fitness (Clothed Too),active,1493389053000,Cleveland,41.49,-81.67,377,Lifestyle
Ohio Networking User Group - (OH)NUG,active,1486526558000,Cleveland,41.5,-81.67,374,Tech
Stow-Kent French Meetup,active,1282527872000,Stow,41.17,-81.45,373,Career & Business
Cleveland Blocks! (Blockchain & Cryptocurrency),active,1502547779000,Cleveland,41.49,-81.67,370,Tech
Sustainable Homes Network of Northeast Ohio,active,1459279433000,Akron,41.04,-81.52,363,Community & Environment
Cleveland CocoaHeads,active,1340283004000,Cleveland,41.47,-81.58,362,Tech
Cleveland Spanish Speaking meetup,active,1508770648000,Cleveland,41.49,-81.67,349,Language & Ethnic Identity
Akron Inventor's Club,active,1445970815000,Akron,41.04,-81.52,342,Tech
Hypnosis: The Real Deal,active,1486398751000,Cleveland,41.5,-81.55,337,Health & Wellbeing
Ohio North SQL Server User Group - Akron-Canton,active,1497067346000,Akron,41.04,-81.52,329,Tech
Crooked River Chapter - Buckeye Trail Association,active,1465418043000,Streetsboro,41.25,-81.35,322,Outdoors & Adventure
Westlake Hiking Club,active,1431720299000,Westlake,41.45,-81.93,314,Outdoors & Adventure
Boston Sports Fans of Cleveland,active,1237212659000,Cleveland,41.5,-81.55,307,Sports & Recreation
Cleveland acoustic instrument jam group,active,1380831246000,Lakewood,41.48,-81.79,305,Music
Cleveland Girls Just Wanna Have Fun!,active,1476656877000,Cleveland,41.49,-81.67,301,Socializing
What Will Carol Do Next?,active,1398860791000,Kent,41.15,-81.33,286,Socializing
λ cleveland -> func,active,1490060406000,Cleveland,41.49,-81.67,283,Tech
We Make the Internet,active,1520256419000,Cleveland,41.49,-81.67,281,Tech
Stark County Boardgaming,active,1478467014000,Massillon,40.8,-81.52,276,Games
Energy Healing and Mediumship in Ohio Meetup,active,1510324669000,Strongsville,41.31,-81.83,273,Health & Wellbeing
EASTSIDE LIVE MUSIC LOVERS,active,1465272260000,Painesville,41.75,-81.28,272,Music
Sista Girls CLE,active,1520033053000,Cleveland,41.49,-81.67,245,Language & Ethnic Identity
Cleveland Jewish Social Club,active,1363741206000,Cleveland,41.5,-81.64,241,Singles
MogulRise: Multifamily Meetup for Real Estate Investors,active,1521682505000,Akron,41.04,-81.52,238,Career & Business
Savvy 55+ (This is the Life),active,1247980242000,Independence,41.38,-81.66,221,Socializing
MogulRise Cleveland Multifamily Real Estate Meetup,active,1457762989000,Cleveland,41.52,-81.56,214,Career & Business
Lake and Geauga County Real Estate Investing Group,active,1494012494000,Chardon,41.57,-81.2,205,Career & Business
West Side Crochet and Knit,active,1396356119000,Cleveland,41.43,-81.8,191,Hobbies & Crafts
Hudson Software Craftsmanship Meetup,active,1513812622000,Hudson,41.25,-81.44,187,Tech
"Cleveland, OH - Microsoft Office 365 Meetup",active,1490366823000,Cleveland,41.49,-81.67,175,Tech
Cleveland Red Hat Meetup,active,1437573030000,Independence,41.38,-81.66,167,Tech
W.I.R.E Women In Real Estate,active,1520177688000,Independence,41.38,-81.66,162,Career & Business
HIMSS Innovation Meetup,active,1527780607000,Cleveland,41.49,-81.67,152,Career & Business
Bottoms Up! Yoga & Brew Meetup,active,1534106535000,Avon Lake,41.49,-82.02,140,Health & Wellbeing
Cleveland User Experience Meetup,active,1518634334000,Cleveland,41.49,-81.67,134,Tech
Phoenix Backpack Club,active,1503337898000,Cleveland,41.5,-81.55,133,Outdoors & Adventure
Shut Up & Write!™ Cleveland,active,1520471142000,Cleveland,41.49,-81.67,130,Writing
Cleveland 30's-40's Social Group,active,1432265734000,Cleveland,41.5,-81.55,129,Arts & Culture
LoCo 'Yaks || Lorain County Kayak & Paddlesports Group,active,1516133377000,Lorain,41.46,-82.17,124,Community & Environment
Read Between the Wines: West-Side,active,1301945643000,Lakewood,41.48,-81.79,120,Book Clubs
"Cleveland/Akron LGBTQ+ 20s, 30s, 40s Social Group",active,1534049466000,Cleveland,41.49,-81.67,119,LGBT
Ohio North SQL Server User Group - Cleveland,active,1524345373000,Independence,41.38,-81.66,116,Tech
NE Ohio Women Over FORTY and Friends (WOFFs),active,1417107491000,Independence,41.38,-81.66,114,LGBT
Marijuana Business Association (MJBA) Cleveland,active,1527258145000,Cleveland,41.49,-81.67,107,Career & Business
Canton Euchre Night,active,1489568706000,Canton,40.81,-81.42,107,Games
ASPIRE LINE DANCE GROUP,active,1535657803000,Akron,41.07,-81.47,102,Health & Wellbeing
Fairlawn Moms & Tots,active,1325879446000,Akron,41.16,-81.64,100,Parents & Family
Ohio SMART,active,1531760377000,Cleveland,41.49,-81.67,98,Lifestyle
Cleveland Classics Book Club,active,1469674875000,Lakewood,41.48,-81.79,96,Book Clubs
Eastside Cleveland Playgroup,active,1347653033000,Cleveland,41.56,-81.48,92,Parents & Family
Cleveland AWS Meetup,active,1531870592000,Cleveland,41.49,-81.67,89,Tech
A C W Scooter Club,active,1279137814000,Akron,40.99,-81.53,88,Cars & Motorcycles
No Hats Required! Tea Group,active,1291779824000,Cleveland,41.48,-81.69,83,Food & Drink
Underground Poker League,active,1483056137000,Cleveland,41.39,-81.74,83,Games
Southwest CLE Tennis,active,1530451004000,Strongsville,41.31,-81.83,83,Sports & Recreation
I-77 Soccer Club - Akron/Canton Ohio,active,1516902776000,Canton,40.85,-81.44,82,Sports & Recreation
People's Choice Poker League,active,1275834947000,Medina,41.13,-81.86,74,Games
Successful Job Seekers,active,1526062132000,Cleveland,41.5,-81.67,68,Career & Business
Investors And Real Estate Professionals Meetup,active,1530995284000,Lakewood,41.48,-81.79,67,Career & Business
Cleveland VueJS,active,1534342044000,Cleveland,41.49,-81.67,67,Tech
Buddhist 12 Step Recovery Group,active,1536011928000,Cleveland,41.49,-81.67,67,New Age & Spirituality
Lake/Geauga Business Networking,active,1534347148000,Mentor,41.72,-81.36,65,Education & Learning
The Northeast Ohio Web Association,active,1531769906000,Kent,41.15,-81.33,65,Career & Business
Elyria Networking powered by Rockstar Connect,active,1532451463000,Elyria,41.37,-82.11,63,Career & Business
East Side Spanish Meet Up!,active,1535038712000,Cleveland,41.49,-81.67,61,Language & Ethnic Identity
Northeast Ohio 45 and older golf enthusiasts,active,1480362533000,Cleveland,41.5,-81.55,60,Outdoors & Adventure
Sandusky & Neighbors Social Connection,active,1531878366000,Sandusky,41.4,-82.73,58,Socializing
Cleveland Chinese Mandarin Language & Culture Meetup,active,1528311014000,Cleveland,41.49,-81.67,58,Language & Ethnic Identity
Cleveland Skat Club,active,1287267344000,Cleveland,41.45,-81.7,50,Games
Medina County Healthy Living Meetup,active,1535487840000,Medina,41.13,-81.86,50,Health & Wellbeing
Cleveland Sea Kayakers,active,1437515968000,Cleveland,41.49,-81.67,49,Sports & Recreation
Bonjour Cleveland!,active,1045609623000,Cleveland,41.49,-81.67,49,Language & Ethnic Identity
C.I.P.T: Cleveland's Illest Poker Tour,active,1420638290000,Solon,41.39,-81.44,46,Games
CryptoMondays Cleveland,active,1534177529000,Cleveland,41.49,-81.67,44,Tech
Moms Club of Uniontown,active,1362930142000,North Canton,40.9,-81.43,40,Parents & Family
NE Ohio Pinochle League,active,1375044154000,Northfield,41.32,-81.55,37,Games
CLE Beercyclists,active,1341087917000,Cleveland,41.38,-81.79,31,Outdoors & Adventure
Southwest Cuyahoga Ladies Night Out,active,1464121429000,Olmsted Falls,41.38,-81.92,24,Socializing
Broken Trail Adventures,active,1521564279000,Strongsville,41.31,-81.83,19,Religion & Beliefs
